source,project,author,url,statusCode,category,method,finalUrl,error
referencioteca,La ciudad como texto,Carola Ureta,https://www.laciudadcomotexto.cl,,timeout,error,https://www.laciudadcomotexto.cl,This operation was aborted
referencioteca,La ciudad como texto,Carola Ureta,https://www.instagram.com/laciudadcomotexto,200,ok,HEAD,https://www.instagram.com/laciudadcomotexto,
referencioteca,Metanoien,Tomás Corvalán Azócar,https://pousta.com/tomas-corvalan-azocar-metanoien/,200,ok,GET,https://pousta.com/tomas-corvalan-azocar-metanoien/,
referencioteca,Desde la bio-imitación a la bioextrapolación: Diseño basado en Simbiogénesis,Daniela Rojas-Levy,https://dspace.palermo.edu/ojs/index.php/cdc/article/view/5004,200,ok,HEAD,https://dspace.palermo.edu/ojs/index.php/cdc/article/view/5004,
referencioteca,Humanidad Teenager,Benjamín Saíz,https://www.behance.net/gallery/111240593/Humanidad-Teenager-Portada-y-Animaciones,200,ok,HEAD,https://www.behance.net/gallery/111240593/Humanidad-Teenager-Portada-y-Animaciones,
referencioteca,CHT Lab,Benjamín Saíz,https://www.behance.net/gallery/111241797/CHT-Lab-2021,200,ok,HEAD,https://www.behance.net/gallery/111241797/CHT-Lab-2021,
referencioteca,Si el mundo se acabara hoy,Pablo González,https://portaldisc.com/contenido/single-adportas-si-el-mundo-acaba-hoy,200,ok,HEAD,https://portaldisc.com/contenido/single-adportas-si-el-mundo-acaba-hoy,
referencioteca,Resonancias Tectónicas,Marcos Chilet,https://artishockrevista.com/2021/06/14/resonancias-tectonicas-chile-bienal-diseno-londres-2021/,200,ok,HEAD,https://artishockrevista.com/2021/06/14/resonancias-tectonicas-chile-bienal-diseno-londres-2021/,
referencioteca,Resonancias Tectónicas,Marcos Chilet,https://lea.uc.cl/resonancias-tectonicas/p,200,ok,HEAD,https://lea.uc.cl/resonancias-tectonicas/p,
referencioteca,Salud Oportuna,Sara Riveros,https://www.saludoportuna.cl/soluciones,200,ok,HEAD,https://www.saludoportuna.cl/soluciones,
referencioteca,GOLDFISH,María Jesús Contreras,https://www.mariajesuscontreras.com,200,ok,HEAD,https://www.mariajesuscontreras.com/,
referencioteca,Stilllife 1,María Jesús Contreras,https://www.mariajesuscontreras.com,200,ok,HEAD,https://www.mariajesuscontreras.com/,
referencioteca,30 Grad Mag,María Jesús Contreras,https://www.mariajesuscontreras.com,200,ok,HEAD,https://www.mariajesuscontreras.com/,
referencioteca,Frog Party,María Jesús Contreras,https://www.mariajesuscontreras.com,200,ok,HEAD,https://www.mariajesuscontreras.com/,
referencioteca,Metro 21,Josefina Andreu,https://www.metro21.cl,200,ok,HEAD,https://www.metro21.cl/,
referencioteca,Metro 21,Josefina Andreu,https://amosantiago.cl/galeria-metro-21-arte-conceptual-a-la-calle/,200,ok,HEAD,https://amosantiago.cl/galeria-metro-21-arte-conceptual-a-la-calle/,
referencioteca,Confluencia: Ruta de 52 murales en la Región Metropolitana,Josefina Andreu,https://www.metro21.cl/proyectos/confluencia-ruta-de-murales-de-la-region-metropolitana/,200,ok,HEAD,https://www.metro21.cl/proyectos/confluencia-ruta-de-murales-de-la-region-metropolitana/,
referencioteca,Borrowed Matter / Materia Prestada,Sofía Guridi,https://sofiaguridi.xyz/borrowed-mattermateria-prestada,404,broken,HEAD,https://sofiaguridi.xyz/borrowed-mattermateria-prestada,
referencioteca,Borrowed Matter / Materia Prestada,Sofía Guridi,https://www.zancada.com/materia-prestada-borrowed-matter/,200,ok,HEAD,https://www.zancada.com/materia-prestada-borrowed-matter/,
referencioteca,Dissolvable Biotextile Keyboard,Sofía Guridi,https://sofiaguridi.xyz/dissolvable-biotextile-keyboard,404,broken,HEAD,https://sofiaguridi.xyz/dissolvable-biotextile-keyboard,
referencioteca,Palpa,Josefa Cortés,https://palpa.cl,200,ok,HEAD,https://palpa.cl/,
referencioteca,Palpa,Josefa Cortés,https://alumni.uc.cl/actualidad/josefa-cortes-disenadora-uc-dentro-de-losas-100-jovenes-lideres-2020/,200,ok,HEAD,https://alumni.uc.cl/actualidad/josefa-cortes-disenadora-uc-dentro-de-losas-100-jovenes-lideres-2020/,
